panel_id,disruption,phase,node,community,belief,action,confidence,uncertainty,memory
V14Q_g0_nominal,nominal,disruption,7,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_nominal,nominal,disruption,8,1,1,1,0.75,0.5623351446188083,2
V14Q_g0_nominal,nominal,disruption,9,1,1,1,0.68,0.6268694575724263,2
V14Q_g0_nominal,nominal,disruption,10,1,-1,-1,0.76,0.5510799280869728,1
V14Q_g0_nominal,nominal,disruption,11,1,1,1,0.76,0.5510799280869728,2
V14Q_g0_nominal,nominal,disruption,12,1,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_nominal,nominal,disruption,13,1,1,1,0.7,0.6108643020548935,2
V14Q_g0_nominal,nominal,disruption,14,1,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_nominal,nominal,disruption,15,1,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_nominal,nominal,recovery,0,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_nominal,nominal,recovery,1,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_nominal,nominal,recovery,2,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_nominal,nominal,recovery,3,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_nominal,nominal,recovery,4,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_nominal,nominal,recovery,5,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_nominal,nominal,recovery,6,0,1,1,0.75,0.5623351446188083,2
V14Q_g0_nominal,nominal,recovery,7,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_nominal,nominal,recovery,8,1,1,1,0.76,0.5510799280869728,2
V14Q_g0_nominal,nominal,recovery,9,1,1,1,0.68,0.6268694575724263,2
V14Q_g0_nominal,nominal,recovery,10,1,-1,-1,0.76,0.5510799280869728,1
V14Q_g0_nominal,nominal,recovery,11,1,1,1,0.76,0.5510799280869728,2
V14Q_g0_nominal,nominal,recovery,12,1,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_nominal,nominal,recovery,13,1,1,1,0.75,0.5623351446188083,2
V14Q_g0_nominal,nominal,recovery,14,1,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_nominal,nominal,recovery,15,1,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_field_reversal,field_reversal,baseline,0,0,-1,-1,0.65,0.6474466390346325,1
V14Q_g0_field_reversal,field_reversal,baseline,1,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_field_reversal,field_reversal,baseline,2,0,1,1,0.7,0.6108643020548935,2
V14Q_g0_field_reversal,field_reversal,baseline,3,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_field_reversal,field_reversal,baseline,4,0,1,1,0.75,0.5623351446188083,2
V14Q_g0_field_reversal,field_reversal,baseline,5,0,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_field_reversal,field_reversal,baseline,6,0,1,1,0.75,0.5623351446188083,2
V14Q_g0_field_reversal,field_reversal,baseline,7,0,-1,-1,0.65,0.6474466390346325,1
V14Q_g0_field_reversal,field_reversal,baseline,8,1,1,1,0.68,0.6268694575724263,2
V14Q_g0_field_reversal,field_reversal,baseline,9,1,1,1,0.68,0.6268694575724263,2
V14Q_g0_field_reversal,field_reversal,baseline,10,1,-1,-1,0.6,0.6730116670092565,1
V14Q_g0_field_reversal,field_reversal,baseline,11,1,1,1,0.75,0.5623351446188083,2
V14Q_g0_field_reversal,field_reversal,baseline,12,1,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_field_reversal,field_reversal,baseline,13,1,1,1,0.7,0.6108643020548935,2
V14Q_g0_field_reversal,field_reversal,baseline,14,1,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_field_reversal,field_reversal,baseline,15,1,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_field_reversal,field_reversal,disruption,0,0,1,1,0.75,0.5623351446188083,2
V14Q_g0_field_reversal,field_reversal,disruption,1,0,1,1,0.75,0.5623351446188083,2
V14Q_g0_field_reversal,field_reversal,disruption,2,0,-1,-1,0.8,0.5004024235381879,1
V14Q_g0_field_reversal,field_reversal,disruption,3,0,-1,-1,0.8,0.5004024235381879,1
V14Q_g0_field_reversal,field_reversal,disruption,4,0,-1,-1,0.85,0.4227090878059909,1
V14Q_g0_field_reversal,field_reversal,disruption,5,0,1,1,0.8,0.5004024235381879,2
V14Q_g0_field_reversal,field_reversal,disruption,6,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_field_reversal,field_reversal,disruption,7,0,1,1,0.68,0.6268694575724263,2
V14Q_g0_field_reversal,field_reversal,disruption,8,1,-1,-1,0.85,0.4227090878059909,1
V14Q_g0_field_reversal,field_reversal,disruption,9,1,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_field_reversal,field_reversal,disruption,10,1,1,1,0.7,0.6108643020548935,2
V14Q_g0_field_reversal,field_reversal,disruption,11,1,-1,-1,0.8,0.5004024235381879,1
V14Q_g0_field_reversal,field_reversal,disruption,12,1,1,1,0.75,0.5623351446188083,2
V14Q_g0_field_reversal,field_reversal,disruption,13,1,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_field_reversal,field_reversal,disruption,14,1,1,1,0.75,0.5623351446188083,2
V14Q_g0_field_reversal,field_reversal,disruption,15,1,1,1,0.8,0.5004024235381879,2
V14Q_g0_field_reversal,field_reversal,recovery,0,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_field_reversal,field_reversal,recovery,1,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_field_reversal,field_reversal,recovery,2,0,1,1,0.85,0.4227090878059909,2
V14Q_g0_field_reversal,field_reversal,recovery,3,0,1,1,0.85,0.4227090878059909,2
V14Q_g0_field_reversal,field_reversal,recovery,4,0,1,1,0.85,0.4227090878059909,2
V14Q_g0_field_reversal,field_reversal,recovery,5,0,-1,-1,0.85,0.4227090878059909,1
V14Q_g0_field_reversal,field_reversal,recovery,6,0,1,1,0.75,0.5623351446188083,2
V14Q_g0_field_reversal,field_reversal,recovery,7,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_field_reversal,field_reversal,recovery,8,1,1,1,0.85,0.4227090878059909,2
V14Q_g0_field_reversal,field_reversal,recovery,9,1,1,1,0.85,0.4227090878059909,2
V14Q_g0_field_reversal,field_reversal,recovery,10,1,-1,-1,0.85,0.4227090878059909,1
V14Q_g0_field_reversal,field_reversal,recovery,11,1,1,1,0.85,0.4227090878059909,2
V14Q_g0_field_reversal,field_reversal,recovery,12,1,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_field_reversal,field_reversal,recovery,13,1,1,1,0.8,0.5004024235381879,2
V14Q_g0_field_reversal,field_reversal,recovery,14,1,-1,-1,0.85,0.4227090878059909,1
V14Q_g0_field_reversal,field_reversal,recovery,15,1,-1,-1,0.85,0.4227090878059909,1
V14Q_g0_network_partition,network_partition,baseline,0,0,-1,-1,0.65,0.6474466390346325,1
V14Q_g0_network_partition,network_partition,baseline,1,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_network_partition,network_partition,baseline,2,0,1,1,0.7,0.6108643020548935,2
V14Q_g0_network_partition,network_partition,baseline,3,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_network_partition,network_partition,baseline,4,0,1,1,0.75,0.5623351446188083,2
V14Q_g0_network_partition,network_partition,baseline,5,0,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_network_partition,network_partition,baseline,6,0,1,1,0.75,0.5623351446188083,2
V14Q_g0_network_partition,network_partition,baseline,7,0,-1,-1,0.65,0.6474466390346325,1
V14Q_g0_network_partition,network_partition,baseline,8,1,1,1,0.68,0.6268694575724263,2
V14Q_g0_network_partition,network_partition,baseline,9,1,1,1,0.68,0.6268694575724263,2
V14Q_g0_network_partition,network_partition,baseline,10,1,-1,-1,0.6,0.6730116670092565,1
V14Q_g0_network_partition,network_partition,baseline,11,1,1,1,0.75,0.5623351446188083,2
V14Q_g0_network_partition,network_partition,baseline,12,1,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_network_partition,network_partition,baseline,13,1,1,1,0.7,0.6108643020548935,2
V14Q_g0_network_partition,network_partition,baseline,14,1,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_network_partition,network_partition,baseline,15,1,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_network_partition,network_partition,disruption,0,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_network_partition,network_partition,disruption,1,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_network_partition,network_partition,disruption,2,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_network_partition,network_partition,disruption,3,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_network_partition,network_partition,disruption,4,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_network_partition,network_partition,disruption,5,0,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_network_partition,network_partition,disruption,6,0,1,1,0.75,0.5623351446188083,2
V14Q_g0_network_partition,network_partition,disruption,7,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_network_partition,network_partition,disruption,8,1,1,1,0.68,0.6268694575724263,2
V14Q_g0_network_partition,network_partition,disruption,9,1,1,1,0.68,0.6268694575724263,2
V14Q_g0_network_partition,network_partition,disruption,10,1,-1,-1,0.6,0.6730116670092565,1
V14Q_g0_network_partition,network_partition,disruption,11,1,1,1,0.75,0.5623351446188083,2
V14Q_g0_network_partition,network_partition,disruption,12,1,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_network_partition,network_partition,disruption,13,1,1,1,0.7,0.6108643020548935,2
V14Q_g0_network_partition,network_partition,disruption,14,1,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_network_partition,network_partition,disruption,15,1,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_network_partition,network_partition,recovery,0,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_network_partition,network_partition,recovery,1,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_network_partition,network_partition,recovery,2,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_network_partition,network_partition,recovery,3,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_network_partition,network_partition,recovery,4,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_network_partition,network_partition,recovery,5,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_network_partition,network_partition,recovery,6,0,1,1,0.75,0.5623351446188083,2
V14Q_g0_network_partition,network_partition,recovery,7,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_network_partition,network_partition,recovery,8,1,1,1,0.76,0.5510799280869728,2
V14Q_g0_network_partition,network_partition,recovery,9,1,1,1,0.68,0.6268694575724263,2
V14Q_g0_network_partition,network_partition,recovery,10,1,-1,-1,0.76,0.5510799280869728,1
V14Q_g0_network_partition,network_partition,recovery,11,1,1,1,0.76,0.5510799280869728,2
V14Q_g0_network_partition,network_partition,recovery,12,1,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_network_partition,network_partition,recovery,13,1,1,1,0.75,0.5623351446188083,2
V14Q_g0_network_partition,network_partition,recovery,14,1,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_network_partition,network_partition,recovery,15,1,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_message_corruption,message_corruption,baseline,0,0,-1,-1,0.65,0.6474466390346325,1
V14Q_g0_message_corruption,message_corruption,baseline,1,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_message_corruption,message_corruption,baseline,2,0,1,1,0.7,0.6108643020548935,2
V14Q_g0_message_corruption,message_corruption,baseline,3,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_message_corruption,message_corruption,baseline,4,0,1,1,0.75,0.5623351446188083,2
V14Q_g0_message_corruption,message_corruption,baseline,5,0,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_message_corruption,message_corruption,baseline,6,0,1,1,0.75,0.5623351446188083,2
V14Q_g0_message_corruption,message_corruption,baseline,7,0,-1,-1,0.65,0.6474466390346325,1
V14Q_g0_message_corruption,message_corruption,baseline,8,1,1,1,0.68,0.6268694575724263,2
V14Q_g0_message_corruption,message_corruption,baseline,9,1,1,1,0.68,0.6268694575724263,2
V14Q_g0_message_corruption,message_corruption,baseline,10,1,-1,-1,0.6,0.6730116670092565,1
V14Q_g0_message_corruption,message_corruption,baseline,11,1,1,1,0.75,0.5623351446188083,2
V14Q_g0_message_corruption,message_corruption,baseline,12,1,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_message_corruption,message_corruption,baseline,13,1,1,1,0.7,0.6108643020548935,2
V14Q_g0_message_corruption,message_corruption,baseline,14,1,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_message_corruption,message_corruption,baseline,15,1,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_message_corruption,message_corruption,disruption,0,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_message_corruption,message_corruption,disruption,1,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_message_corruption,message_corruption,disruption,2,0,1,1,0.74,0.5730569171314204,2
V14Q_g0_message_corruption,message_corruption,disruption,3,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_message_corruption,message_corruption,disruption,4,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_message_corruption,message_corruption,disruption,5,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_message_corruption,message_corruption,disruption,6,0,1,1,0.75,0.5623351446188083,2
V14Q_g0_message_corruption,message_corruption,disruption,7,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_message_corruption,message_corruption,disruption,8,1,1,1,0.68,0.6268694575724263,2
V14Q_g0_message_corruption,message_corruption,disruption,9,1,1,1,0.75,0.5623351446188083,2
V14Q_g0_message_corruption,message_corruption,disruption,10,1,-1,-1,0.68,0.6268694575724263,1
V14Q_g0_message_corruption,message_corruption,disruption,11,1,1,1,0.76,0.5510799280869728,2
V14Q_g0_message_corruption,message_corruption,disruption,12,1,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_message_corruption,message_corruption,disruption,13,1,1,1,0.75,0.5623351446188083,2
V14Q_g0_message_corruption,message_corruption,disruption,14,1,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_message_corruption,message_corruption,disruption,15,1,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_message_corruption,message_corruption,recovery,0,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_message_corruption,message_corruption,recovery,1,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_message_corruption,message_corruption,recovery,2,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_message_corruption,message_corruption,recovery,3,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_message_corruption,message_corruption,recovery,4,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_message_corruption,message_corruption,recovery,5,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_message_corruption,message_corruption,recovery,6,0,1,1,0.75,0.5623351446188083,2
V14Q_g0_message_corruption,message_corruption,recovery,7,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_message_corruption,message_corruption,recovery,8,1,1,1,0.76,0.5510799280869728,2
V14Q_g0_message_corruption,message_corruption,recovery,9,1,1,1,0.76,0.5510799280869728,2
V14Q_g0_message_corruption,message_corruption,recovery,10,1,-1,-1,0.76,0.5510799280869728,1
V14Q_g0_message_corruption,message_corruption,recovery,11,1,1,1,0.76,0.5510799280869728,2
V14Q_g0_message_corruption,message_corruption,recovery,12,1,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_message_corruption,message_corruption,recovery,13,1,1,1,0.75,0.5623351446188083,2
V14Q_g0_message_corruption,message_corruption,recovery,14,1,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_message_corruption,message_corruption,recovery,15,1,-1,-1,0.75,0.5623351446188083,1
