panel_id,application,complexity,coupling,fragmentation,network_disruption,information_condition,topology_family,environment_seed,purpose,reference_controller,reference_sketch_policy,operational_communication_policy,counterfactual_limit_per_epoch
v7-response_surface-utility_restoration-787065,utility_restoration,medium,medium,medium,medium,private_fragmented,scale_free,787065,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787066,utility_restoration,medium,medium,high,high,private_fragmented,grid,787066,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787067,utility_restoration,medium,medium,high,high,private_fragmented,scale_free,787067,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787068,utility_restoration,medium,medium,high,high,private_fragmented,modular,787068,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787069,utility_restoration,medium,high,low,high,private_fragmented,modular,787069,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787070,utility_restoration,medium,high,low,high,private_fragmented,grid,787070,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787071,utility_restoration,medium,high,low,high,private_fragmented,scale_free,787071,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787072,utility_restoration,medium,high,medium,high,private_fragmented,grid,787072,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787073,utility_restoration,medium,high,medium,high,private_fragmented,scale_free,787073,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787074,utility_restoration,medium,high,medium,high,private_fragmented,modular,787074,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787075,utility_restoration,medium,high,high,high,private_fragmented,scale_free,787075,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787076,utility_restoration,medium,high,high,high,private_fragmented,modular,787076,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787077,utility_restoration,medium,high,high,high,private_fragmented,grid,787077,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-high_complexity-utility_restoration-787078,utility_restoration,medium,high,high,high,private_fragmented,grid,787078,high_complexity,always_act,event_triggered,agent_event_triggered,6
v7-high_complexity-utility_restoration-787079,utility_restoration,medium,high,high,high,private_fragmented,scale_free,787079,high_complexity,always_act,event_triggered,agent_event_triggered,6
v7-high_complexity-utility_restoration-787080,utility_restoration,medium,high,high,high,private_fragmented,modular,787080,high_complexity,always_act,event_triggered,agent_event_triggered,6
v7-high_complexity-utility_restoration-787081,utility_restoration,medium,high,high,high,private_fragmented,grid,787081,high_complexity,always_act,event_triggered,agent_event_triggered,6
v7-high_complexity-utility_restoration-787082,utility_restoration,medium,high,high,high,private_fragmented,scale_free,787082,high_complexity,always_act,event_triggered,agent_event_triggered,6
v7-high_complexity-utility_restoration-787083,utility_restoration,medium,high,high,high,private_fragmented,modular,787083,high_complexity,always_act,event_triggered,agent_event_triggered,6
v7-high_complexity-utility_restoration-787084,utility_restoration,medium,high,high,high,private_fragmented,grid,787084,high_complexity,always_act,event_triggered,agent_event_triggered,6
v7-high_complexity-utility_restoration-787085,utility_restoration,medium,high,high,high,private_fragmented,scale_free,787085,high_complexity,always_act,event_triggered,agent_event_triggered,6
v7-high_complexity-utility_restoration-787086,utility_restoration,medium,high,high,high,private_fragmented,modular,787086,high_complexity,always_act,event_triggered,agent_event_triggered,6
v7-scale-utility_restoration-787087,utility_restoration,small,high,high,high,private_fragmented,grid,787087,scale,always_act,event_triggered,agent_event_triggered,6
v7-scale-utility_restoration-787088,utility_restoration,small,high,high,high,private_fragmented,scale_free,787088,scale,always_act,event_triggered,agent_event_triggered,6
v7-scale-utility_restoration-787089,utility_restoration,small,high,high,high,private_fragmented,modular,787089,scale,always_act,event_triggered,agent_event_triggered,6
v7-scale-utility_restoration-787090,utility_restoration,small,high,high,high,private_fragmented,grid,787090,scale,always_act,event_triggered,agent_event_triggered,6
v7-scale-utility_restoration-787091,utility_restoration,large,high,high,high,private_fragmented,grid,787091,scale,always_act,event_triggered,agent_event_triggered,6
v7-scale-utility_restoration-787092,utility_restoration,large,high,high,high,private_fragmented,scale_free,787092,scale,always_act,event_triggered,agent_event_triggered,6
v7-scale-utility_restoration-787093,utility_restoration,large,high,high,high,private_fragmented,modular,787093,scale,always_act,event_triggered,agent_event_triggered,6
v7-scale-utility_restoration-787094,utility_restoration,large,high,high,high,private_fragmented,grid,787094,scale,always_act,event_triggered,agent_event_triggered,6
v7-public_control-utility_restoration-787095,utility_restoration,medium,high,high,high,public_shared,grid,787095,public_control,always_act,event_triggered,agent_event_triggered,6
v7-public_control-utility_restoration-787096,utility_restoration,medium,high,high,high,public_shared,scale_free,787096,public_control,always_act,event_triggered,agent_event_triggered,6
v7-public_control-utility_restoration-787097,utility_restoration,medium,high,high,high,public_shared,modular,787097,public_control,always_act,event_triggered,agent_event_triggered,6
v7-public_control-utility_restoration-787098,utility_restoration,medium,high,high,high,public_shared,grid,787098,public_control,always_act,event_triggered,agent_event_triggered,6
v7-public_control-utility_restoration-787099,utility_restoration,medium,high,high,high,public_shared,scale_free,787099,public_control,always_act,event_triggered,agent_event_triggered,6
v7-public_control-utility_restoration-787100,utility_restoration,medium,high,high,high,public_shared,modular,787100,public_control,always_act,event_triggered,agent_event_triggered,6
